127.0.0.1 - - [22/Jul/2020:13:16:52 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:16:54 -0700] "GET /JSP_FIRST/WEB-INF/classes/PersonBean.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:21:21 -0700] "GET /JSP_FIRST/hello.jsp HTTP/1.1" 500 3066
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:21:39 -0700] "GET /JSP_FIRST/hello.jsp HTTP/1.1" 500 3066
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:22:01 -0700] "GET /JSP_FIRST/hello.jsp HTTP/1.1" 500 3066
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:26:32 -0700] "GET /JSP_FIRST/welcome1.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:26:52 -0700] "GET /JSP_FIRST/index1.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:26:58 -0700] "POST /JSP_FIRST/welcome.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:28:53 -0700] "GET /JSP_FIRST/welcome1.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:29:02 -0700] "GET /JSP_FIRST/index1.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [22/Jul/2020:13:29:08 -0700] "POST /JSP_FIRST/welcome.jsp HTTP/1.1" 200 212
